epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1461.51,1.1894,2.58025,1.63373,0.59321,0.46103,0.43041,0.24922,0.92141,1.38495,1.28438,0.00999895,0.00333298,0.00999895,0.00333298,0.00999895,0.00333298,0.00999895,0.00333298
2,2796.46,1.197,2.029,1.65198,0.6045,0.38337,0.38357,0.22659,1.02197,1.81437,1.34356,0.019603,0.00653432,0.019603,0.00653432,0.019603,0.00653432,0.019603,0.00653432
3,4084.31,1.24183,2.15113,1.70466,0.47669,0.41815,0.29893,0.14573,1.04118,2.0472,1.45851,0.028811,0.00960366,0.028811,0.00960366,0.028811,0.00960366,0.028811,0.00960366
4,5372.03,1.24916,2.17316,1.71287,0.61521,0.38441,0.35929,0.20257,1.01411,1.7647,1.36802,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,6585.42,1.18809,1.98937,1.6594,0.69902,0.43553,0.47927,0.28752,0.97503,1.84504,1.31837,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,7673.09,1.14504,1.84774,1.61586,0.68504,0.46824,0.48048,0.28707,0.91903,1.28662,1.28692,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,8697.86,1.12851,1.77023,1.60261,0.70557,0.43057,0.47751,0.29169,0.87927,1.29889,1.2336,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,9640.4,1.10477,1.70019,1.58003,0.69906,0.44679,0.48905,0.29796,0.87164,1.29117,1.22432,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,10584,1.08563,1.65149,1.56846,0.69968,0.47634,0.49679,0.32151,0.83557,1.17249,1.20909,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,11598.9,1.06718,1.56895,1.54941,0.7543,0.52379,0.56611,0.35983,0.81776,1.09128,1.1386,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,12869.4,1.04884,1.52147,1.53674,0.5418,0.45723,0.49779,0.3266,0.80075,1.07986,1.16752,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,14142.4,1.03553,1.50619,1.52107,0.74078,0.52151,0.55114,0.34379,0.81125,0.94218,1.14757,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,15111.2,1.02998,1.4459,1.52327,0.51622,0.51912,0.52469,0.32576,0.8436,1.04646,1.19373,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,16073.3,1.02165,1.43719,1.50892,0.61137,0.5262,0.58353,0.3739,0.82153,0.97661,1.14491,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,17036.1,1.00311,1.38673,1.49658,0.62535,0.53988,0.58574,0.38268,0.77705,0.92815,1.12168,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,17999.5,0.99102,1.37635,1.48796,0.5878,0.53579,0.57116,0.36887,0.7932,0.95393,1.12001,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,18971.6,0.99093,1.32299,1.48332,0.58374,0.55506,0.57516,0.37829,0.77658,0.93342,1.12124,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,19938.8,0.97842,1.2978,1.47637,0.56138,0.5287,0.5296,0.34969,0.78348,0.83925,1.12922,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,20905.1,0.97922,1.3026,1.47407,0.5913,0.55354,0.57721,0.37545,0.77113,0.87131,1.10776,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,21879.9,0.96792,1.26829,1.46769,0.62032,0.57436,0.60605,0.39606,0.78294,0.87468,1.10403,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
21,22857,0.9605,1.26165,1.4579,0.63954,0.55463,0.61079,0.39734,0.7898,0.86333,1.11152,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
22,23834.2,0.95386,1.23068,1.45785,0.63486,0.58498,0.61861,0.41055,0.76594,0.80419,1.0885,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
23,24812,0.93936,1.21092,1.44112,0.62467,0.56583,0.59459,0.39698,0.76125,0.8753,1.09787,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
24,25782.3,0.94146,1.20842,1.44908,0.62274,0.59424,0.60106,0.40172,0.76503,0.82268,1.1057,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
25,26753.1,0.93974,1.18387,1.43782,0.6286,0.55007,0.593,0.40917,0.73415,0.90128,1.06803,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
26,27722.7,0.93565,1.16687,1.43607,0.62347,0.54914,0.59044,0.40328,0.74365,0.84382,1.07554,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
27,28684.8,0.92345,1.16104,1.42908,0.56873,0.60045,0.5956,0.39892,0.7454,0.81379,1.08132,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
28,29642.6,0.91554,1.13994,1.42292,0.61275,0.57866,0.6117,0.41419,0.73799,0.82687,1.07295,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
29,30603.8,0.91331,1.13431,1.41992,0.62898,0.57494,0.60987,0.41514,0.73618,0.83612,1.07033,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
30,31563,0.90756,1.10131,1.41437,0.5932,0.59938,0.61192,0.41821,0.72732,0.81196,1.06038,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
